"Año","Mes","Comunidad autónoma","Provincia","Número de casos","Número de casos con protección policial"
"Año 2019","Noviembre","La Rioja","La Rioja","436.0","240.0"
"Año 2019","Noviembre","Ceuta","Ceuta","123.0","69.0"
"Año 2019","Noviembre","Melilla","Melilla","136.0","68.0"
"Año 2019","Noviembre","Extranjero","Extranjero","0.0","0.0"
"Año 2019","Diciembre","Desconocida","Desconocida","0.0","0.0"
"Año 2019","Diciembre","Andalucía","Almería","2150.0","901.0"
"Año 2019","Diciembre","Andalucía","Cádiz","2819.0","1584.0"
"Año 2019","Diciembre","Andalucía","Córdoba","1029.0","709.0"
"Año 2019","Diciembre","Andalucía","Granada","1549.0","909.0"
"Año 2019","Diciembre","Andalucía","Huelva","1171.0","522.0"
"Año 2019","Diciembre","Andalucía","Jaén","1335.0","769.0"
"Año 2019","Diciembre","Andalucía","Málaga","3193.0","1506.0"
"Año 2019","Diciembre","Andalucía","Sevilla","3288.0","1828.0"
"Año 2019","Diciembre","Aragón","Huesca","267.0","114.0"
"Año 2019","Diciembre","Aragón","Teruel","135.0","65.0"
"Año 2019","Diciembre","Aragón","Zaragoza","1259.0","604.0"
"Año 2019","Diciembre","Principado de Asturias","Asturias","1386.0","633.0"
"Año 2019","Diciembre","Illes Balears","Illes Balears","2666.0","1237.0"
"Año 2019","Diciembre","Canarias","Las Palmas","2012.0","1045.0"
"Año 2019","Diciembre","Canarias","Santa Cruz de Tenerife","2189.0","1387.0"
"Año 2019","Diciembre","Cantabria","Cantabria","718.0","341.0"
"Año 2019","Diciembre","Castilla y León","Ávila","205.0","123.0"
"Año 2019","Diciembre","Castilla y León","Burgos","587.0","276.0"
"Año 2019","Diciembre","Castilla y León","León","570.0","283.0"
"Año 2019","Diciembre","Castilla y León","Palencia","223.0","121.0"
"Año 2019","Diciembre","Castilla y León","Salamanca","301.0","95.0"
"Año 2019","Diciembre","Castilla y León","Segovia","171.0","111.0"
"Año 2019","Diciembre","Castilla y León","Soria","123.0","42.0"
"Año 2019","Diciembre","Castilla y León","Valladolid","473.0","157.0"
"Año 2019","Diciembre","Castilla y León","Zamora","137.0","56.0"
