"Año","Mes","Comunidad autónoma","Provincia","Altas","Bajas","Usuarias activas"
"Año 2007","Junio","Castilla y León","Segovia","0.0","0.0","8.0"
"Año 2007","Junio","Castilla y León","Soria","0.0","2.0","30.0"
"Año 2007","Junio","Castilla y León","Valladolid","0.0","1.0","14.0"
"Año 2007","Junio","Castilla y León","Zamora","1.0","0.0","18.0"
"Año 2007","Junio","Castilla-La Mancha","Albacete","1.0","0.0","32.0"
"Año 2007","Junio","Castilla-La Mancha","Ciudad Real","1.0","4.0","56.0"
"Año 2007","Junio","Castilla-La Mancha","Cuenca","0.0","0.0","14.0"
"Año 2007","Junio","Castilla-La Mancha","Guadalajara","-1.0","0.0","18.0"
"Año 2007","Junio","Castilla-La Mancha","Toledo","3.0","0.0","65.0"
"Año 2007","Junio","Cataluña","Barcelona","23.0","13.0","512.0"
"Año 2007","Junio","Cataluña","Girona","6.0","3.0","80.0"
"Año 2007","Junio","Cataluña","Lleida","0.0","1.0","35.0"
"Año 2007","Junio","Cataluña","Tarragona","14.0","5.0","180.0"
"Año 2007","Junio","Comunitat Valenciana","Alicante/Alacant","22.0","8.0","442.0"
"Año 2007","Junio","Comunitat Valenciana","Castellón/Castelló","11.0","6.0","209.0"
"Año 2007","Junio","Comunitat Valenciana","Valencia/València","26.0","12.0","600.0"
"Año 2007","Junio","Extremadura","Badajoz","1.0","2.0","56.0"
"Año 2007","Junio","Extremadura","Cáceres","2.0","1.0","40.0"
"Año 2007","Junio","Galicia","A Coruña","6.0","3.0","143.0"
"Año 2007","Junio","Galicia","Lugo","0.0","0.0","16.0"
"Año 2007","Junio","Galicia","Ourense","4.0","1.0","33.0"
"Año 2007","Junio","Galicia","Pontevedra","6.0","0.0","66.0"
"Año 2007","Junio","Comunidad de Madrid","Madrid","49.0","26.0","1331.0"
"Año 2007","Junio","Región de Murcia","Murcia","1.0","1.0","59.0"
"Año 2007","Junio","Comunidad Foral de Navarra","Navarra","0.0","0.0","7.0"
"Año 2007","Junio","País Vasco","Araba/Álava","0.0","0.0","6.0"
