"Año","Trimestre","Mes","Comunidad autónoma","Provincia","Total consultas pertinentes","Llamadas pertinentes","WhatsApp pertinentes","Correos electrónicos pertinentes","Chats pertinentes"
"2012","Segundo","Mayo","Andalucía","Málaga","195.0","195.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Andalucía","Sevilla","255.0","255.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Aragón","Huesca","7.0","7.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Aragón","Teruel","4.0","4.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Aragón","Zaragoza","76.0","76.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Principado de Asturias","Asturias","105.0","105.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Illes Balears","Illes Balears","122.0","122.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Canarias","Las Palmas","173.0","173.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Canarias","Santa Cruz de Tenerife","143.0","143.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Cantabria","Cantabria","51.0","51.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla y León","Ávila","16.0","16.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla y León","Burgos","24.0","24.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla y León","León","40.0","40.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla y León","Palencia","5.0","5.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla y León","Salamanca","36.0","36.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla y León","Segovia","9.0","9.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla y León","Soria","10.0","10.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla y León","Valladolid","53.0","53.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla y León","Zamora","17.0","17.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla-La Mancha","Albacete","24.0","24.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla-La Mancha","Ciudad Real","34.0","34.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla-La Mancha","Cuenca","14.0","14.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla-La Mancha","Guadalajara","30.0","30.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Castilla-La Mancha","Toledo","81.0","81.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Cataluña","Barcelona","499.0","499.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Cataluña","Girona","48.0","48.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Cataluña","Lleida","29.0","29.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Cataluña","Tarragona","62.0","62.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Comunitat Valenciana","Alicante/Alacant","199.0","199.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Comunitat Valenciana","Castellón/Castelló","56.0","56.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Comunitat Valenciana","Valencia/València","300.0","300.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Extremadura","Badajoz","77.0","77.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Extremadura","Cáceres","42.0","42.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Galicia","A Coruña","122.0","122.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Galicia","Lugo","21.0","21.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Galicia","Ourense","36.0","36.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Galicia","Pontevedra","57.0","57.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Comunidad de Madrid","Madrid","1087.0","1087.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Región de Murcia","Murcia","148.0","148.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Comunidad Foral de Navarra","Navarra","76.0","76.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","País Vasco","Araba/Álava","18.0","18.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","País Vasco","Bizkaia","82.0","82.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","País Vasco","Gipuzkoa","41.0","41.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","La Rioja","La Rioja","12.0","12.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Ceuta","Ceuta","19.0","19.0","0.0","0.0","0.0"
"2012","Segundo","Mayo","Melilla","Melilla","9.0","9.0","0.0","0.0","0.0"
"2012","Segundo","Junio","Andalucía","Almería","54.0","54.0","0.0","0.0","0.0"
