"Año","Comunidad autónoma","Provincia","Número de ayudas para cambio de residencia"
"Año 2014","Cataluña","Barcelona","277.0"
"Año 2014","Cataluña","Girona","33.0"
"Año 2014","Cataluña","Lleida","20.0"
"Año 2014","Cataluña","Tarragona","54.0"
"Año 2014","Comunitat Valenciana","Alicante/Alacant","189.0"
"Año 2014","Comunitat Valenciana","Castellón/Castelló","48.0"
"Año 2014","Comunitat Valenciana","Valencia/València","247.0"
"Año 2014","Extremadura","Badajoz","48.0"
"Año 2014","Extremadura","Cáceres","51.0"
"Año 2014","Galicia","A Coruña","92.0"
"Año 2014","Galicia","Lugo","16.0"
"Año 2014","Galicia","Ourense","29.0"
"Año 2014","Galicia","Pontevedra","36.0"
"Año 2014","Comunidad de Madrid","Madrid","292.0"
"Año 2014","Región de Murcia","Murcia","126.0"
"Año 2014","Comunidad Foral de Navarra","Navarra","46.0"
"Año 2014","País Vasco","Araba/Álava","18.0"
"Año 2014","País Vasco","Bizkaia","94.0"
"Año 2014","País Vasco","Gipuzkoa","16.0"
"Año 2014","La Rioja","La Rioja","15.0"
"Año 2014","Ceuta","Ceuta","2.0"
"Año 2014","Melilla","Melilla","3.0"
"Año 2015","Andalucía","Almería","60.0"
"Año 2015","Andalucía","Cádiz","109.0"
"Año 2015","Andalucía","Córdoba","41.0"
"Año 2015","Andalucía","Granada","170.0"
"Año 2015","Andalucía","Huelva","36.0"
"Año 2015","Andalucía","Jaén","63.0"
"Año 2015","Andalucía","Málaga","111.0"
"Año 2015","Andalucía","Sevilla","145.0"
"Año 2015","Aragón","Huesca","13.0"
"Año 2015","Aragón","Teruel","11.0"
"Año 2015","Aragón","Zaragoza","131.0"
"Año 2015","Principado de Asturias","Asturias","147.0"
"Año 2015","Illes Balears","Illes Balears","104.0"
"Año 2015","Canarias","Las Palmas","91.0"
"Año 2015","Canarias","Santa Cruz de Tenerife","270.0"
"Año 2015","Cantabria","Cantabria","46.0"
"Año 2015","Castilla y León","Ávila","14.0"
"Año 2015","Castilla y León","Burgos","22.0"
"Año 2015","Castilla y León","León","37.0"
"Año 2015","Castilla y León","Palencia","7.0"
"Año 2015","Castilla y León","Salamanca","13.0"
"Año 2015","Castilla y León","Segovia","1.0"
"Año 2015","Castilla y León","Soria","3.0"
"Año 2015","Castilla y León","Valladolid","35.0"
"Año 2015","Castilla y León","Zamora","6.0"
"Año 2015","Castilla-La Mancha","Albacete","36.0"
"Año 2015","Castilla-La Mancha","Ciudad Real","40.0"
"Año 2015","Castilla-La Mancha","Cuenca","17.0"
"Año 2015","Castilla-La Mancha","Guadalajara","25.0"
"Año 2015","Castilla-La Mancha","Toledo","85.0"
"Año 2015","Cataluña","Barcelona","274.0"
"Año 2015","Cataluña","Girona","37.0"
"Año 2015","Cataluña","Lleida","18.0"
"Año 2015","Cataluña","Tarragona","41.0"
"Año 2015","Comunitat Valenciana","Alicante/Alacant","222.0"
"Año 2015","Comunitat Valenciana","Castellón/Castelló","72.0"
"Año 2015","Comunitat Valenciana","Valencia/València","248.0"
"Año 2015","Extremadura","Badajoz","42.0"
"Año 2015","Extremadura","Cáceres","55.0"
"Año 2015","Galicia","A Coruña","82.0"
"Año 2015","Galicia","Lugo","12.0"
"Año 2015","Galicia","Ourense","25.0"
"Año 2015","Galicia","Pontevedra","45.0"
"Año 2015","Comunidad de Madrid","Madrid","270.0"
"Año 2015","Región de Murcia","Murcia","124.0"
"Año 2015","Comunidad Foral de Navarra","Navarra","46.0"
"Año 2015","País Vasco","Araba/Álava","12.0"
"Año 2015","País Vasco","Bizkaia","73.0"
"Año 2015","País Vasco","Gipuzkoa","15.0"
"Año 2015","La Rioja","La Rioja","26.0"
"Año 2015","Ceuta","Ceuta","2.0"
"Año 2015","Melilla","Melilla","2.0"
"Año 2016","Andalucía","Almería","52.0"
"Año 2016","Andalucía","Cádiz","123.0"
"Año 2016","Andalucía","Córdoba","57.0"
"Año 2016","Andalucía","Granada","122.0"
"Año 2016","Andalucía","Huelva","42.0"
"Año 2016","Andalucía","Jaén","52.0"
"Año 2016","Andalucía","Málaga","87.0"
"Año 2016","Andalucía","Sevilla","158.0"
"Año 2016","Aragón","Huesca","23.0"
"Año 2016","Aragón","Teruel","19.0"
"Año 2016","Aragón","Zaragoza","121.0"
"Año 2016","Principado de Asturias","Asturias","145.0"
"Año 2016","Illes Balears","Illes Balears","88.0"
"Año 2016","Canarias","Las Palmas","84.0"
"Año 2016","Canarias","Santa Cruz de Tenerife","255.0"
"Año 2016","Cantabria","Cantabria","35.0"
"Año 2016","Castilla y León","Ávila","9.0"
"Año 2016","Castilla y León","Burgos","11.0"
"Año 2016","Castilla y León","León","30.0"
"Año 2016","Castilla y León","Palencia","3.0"
"Año 2016","Castilla y León","Salamanca","15.0"
"Año 2016","Castilla y León","Segovia","1.0"
"Año 2016","Castilla y León","Soria","2.0"
"Año 2016","Castilla y León","Valladolid","43.0"
"Año 2016","Castilla y León","Zamora","1.0"
"Año 2016","Castilla-La Mancha","Albacete","35.0"
"Año 2016","Castilla-La Mancha","Ciudad Real","34.0"
"Año 2016","Castilla-La Mancha","Cuenca","12.0"
"Año 2016","Castilla-La Mancha","Guadalajara","19.0"
"Año 2016","Castilla-La Mancha","Toledo","85.0"
"Año 2016","Cataluña","Barcelona","270.0"
"Año 2016","Cataluña","Girona","23.0"
"Año 2016","Cataluña","Lleida","28.0"
"Año 2016","Cataluña","Tarragona","46.0"
"Año 2016","Comunitat Valenciana","Alicante/Alacant","240.0"
"Año 2016","Comunitat Valenciana","Castellón/Castelló","63.0"
"Año 2016","Comunitat Valenciana","Valencia/València","276.0"
"Año 2016","Extremadura","Badajoz","36.0"
"Año 2016","Extremadura","Cáceres","54.0"
"Año 2016","Galicia","A Coruña","78.0"
"Año 2016","Galicia","Lugo","15.0"
"Año 2016","Galicia","Ourense","20.0"
"Año 2016","Galicia","Pontevedra","42.0"
"Año 2016","Comunidad de Madrid","Madrid","300.0"
"Año 2016","Región de Murcia","Murcia","142.0"
"Año 2016","Comunidad Foral de Navarra","Navarra","60.0"
"Año 2016","País Vasco","Araba/Álava","17.0"
"Año 2016","País Vasco","Bizkaia","58.0"
