Comunidades y ciudades autónomas;Lugar de nacimiento de la victima;Periodo;Total
Balears, Illes;UE27_2020 sin España;2021;82
Balears, Illes;UE27_2020 sin España;2020;92
Balears, Illes;UE27_2020 sin España;2019;""
Balears, Illes;UE27_2020 sin España;2018;""
Balears, Illes;UE27_2020 sin España;2017;""
Balears, Illes;UE27_2020 sin España;2016;""
Balears, Illes;UE27_2020 sin España;2015;""
Balears, Illes;UE27_2020 sin España;2014;""
Balears, Illes;UE27_2020 sin España;2013;""
Balears, Illes;UE27_2020 sin España;2012;""
Balears, Illes;UE27_2020 sin España;2011;""
Balears, Illes;Europa menos UE28;2023;""
Balears, Illes;Europa menos UE28;2022;""
Balears, Illes;Europa menos UE28;2021;""
Balears, Illes;Europa menos UE28;2020;""
Balears, Illes;Europa menos UE28;2019;24
Balears, Illes;Europa menos UE28;2018;9
Balears, Illes;Europa menos UE28;2017;7
Balears, Illes;Europa menos UE28;2016;8
Balears, Illes;Europa menos UE28;2015;13
Balears, Illes;Europa menos UE28;2014;7
Balears, Illes;Europa menos UE28;2013;9
Balears, Illes;Europa menos UE28;2012;11
Balears, Illes;Europa menos UE28;2011;8
Balears, Illes;Europa menos UE27_2020;2023;48
Balears, Illes;Europa menos UE27_2020;2022;52
Balears, Illes;Europa menos UE27_2020;2021;30
Balears, Illes;Europa menos UE27_2020;2020;21
Balears, Illes;Europa menos UE27_2020;2019;""
Balears, Illes;Europa menos UE27_2020;2018;""
Balears, Illes;Europa menos UE27_2020;2017;""
Balears, Illes;Europa menos UE27_2020;2016;""
Balears, Illes;Europa menos UE27_2020;2015;""
Balears, Illes;Europa menos UE27_2020;2014;""
Balears, Illes;Europa menos UE27_2020;2013;""
Balears, Illes;Europa menos UE27_2020;2012;""
Balears, Illes;Europa menos UE27_2020;2011;""
Balears, Illes;África;2023;131
Balears, Illes;África;2022;102
Balears, Illes;África;2021;106
Balears, Illes;África;2020;96
Balears, Illes;África;2019;89
Balears, Illes;África;2018;82
Balears, Illes;África;2017;72
Balears, Illes;África;2016;75
Balears, Illes;África;2015;76
Balears, Illes;África;2014;69
Balears, Illes;África;2013;69
Balears, Illes;África;2012;69
Balears, Illes;África;2011;72
Balears, Illes;América;2023;386
Balears, Illes;América;2022;319
Balears, Illes;América;2021;232
Balears, Illes;América;2020;218
Balears, Illes;América;2019;242
Balears, Illes;América;2018;195
Balears, Illes;América;2017;165
Balears, Illes;América;2016;152
Balears, Illes;América;2015;140
Balears, Illes;América;2014;161
Balears, Illes;América;2013;124
Balears, Illes;América;2012;137
Balears, Illes;América;2011;175
Balears, Illes;Asia;2023;20
Balears, Illes;Asia;2022;8
Balears, Illes;Asia;2021;15
Balears, Illes;Asia;2020;6
Balears, Illes;Asia;2019;11
Balears, Illes;Asia;2018;10
Balears, Illes;Asia;2017;10
Balears, Illes;Asia;2016;11
Balears, Illes;Asia;2015;8
Balears, Illes;Asia;2014;11
Balears, Illes;Asia;2013;12
Balears, Illes;Asia;2012;7
Balears, Illes;Asia;2011;9
Balears, Illes;Oceanía ;2023;1
Balears, Illes;Oceanía ;2022;2
Balears, Illes;Oceanía ;2021;0
Balears, Illes;Oceanía ;2020;1
Balears, Illes;Oceanía ;2019;0
Balears, Illes;Oceanía ;2018;1
Balears, Illes;Oceanía ;2017;1
Balears, Illes;Oceanía ;2016;1
Balears, Illes;Oceanía ;2015;2
Balears, Illes;Oceanía ;2014;3
Balears, Illes;Oceanía ;2013;1
Balears, Illes;Oceanía ;2012;0
Balears, Illes;Oceanía ;2011;1
Canarias;Total;2023;2.509
Canarias;Total;2022;2.005
Canarias;Total;2021;1.822
Canarias;Total;2020;1.734
Canarias;Total;2019;1.699
Canarias;Total;2018;1.671
Canarias;Total;2017;1.335
Canarias;Total;2016;1.297
Canarias;Total;2015;1.258
Canarias;Total;2014;1.163
Canarias;Total;2013;1.333
Canarias;Total;2012;1.426
Canarias;Total;2011;1.483
Canarias;Europa;2023;1.955
Canarias;Europa;2022;1.605
Canarias;Europa;2021;1.435
Canarias;Europa;2020;1.353
Canarias;Europa;2019;1.380
Canarias;Europa;2018;1.343
Canarias;Europa;2017;1.106
Canarias;Europa;2016;1.068
Canarias;Europa;2015;1.086
Canarias;Europa;2014;971
Canarias;Europa;2013;1.120
Canarias;Europa;2012;1.169
Canarias;Europa;2011;1.203
Canarias;España;2023;1.495
Canarias;España;2022;1.267
Canarias;España;2021;1.223
Canarias;España;2020;1.160
Canarias;España;2019;1.128
Canarias;España;2018;1.066
Canarias;España;2017;932
Canarias;España;2016;885
Canarias;España;2015;909
Canarias;España;2014;839
Canarias;España;2013;943
Canarias;España;2012;1.002
Canarias;España;2011;1.059
Canarias;UE28 sin España;2023;""
Canarias;UE28 sin España;2022;""
Canarias;UE28 sin España;2021;""
Canarias;UE28 sin España;2020;""
